Animal name,Sessions,Tetrode,Cell
Flekken (14147),medbox 1 ,12,2,
Flekken (14147),medbox 1 ,2,3,
Flekken (14147),medbox 1 ,4,1,
Flekken (14147),medbox 1 ,7,1,
Flekken (14147),medbox 1 ,7,2,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,3,4,
Flekken (14147),medbox 1 ,6,4,
Flekken (14147),medbox 1 ,7,3,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,12,2,
Flekken (14147),medbox 1 ,12,3,
Flekken (14147),medbox 1 ,2,3,
Flekken (14147),medbox 1 ,7,4,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,7,3,
Flekken (14147),medbox 1 ,7,5,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,1,2,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,2,4,
Flekken (14147),medbox 1 ,3,2,
Flekken (14147),medbox 1 ,4,2,
Flekken (14147),medbox 1 ,4,8,
Flekken (14147),medbox 1 ,7,1,
Flekken (14147),medbox 1 ,7,5,
Flekken (14147),medbox 1 ,9,4,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,2,4,
Flekken (14147),medbox 1 ,3,4,
Flekken (14147),medbox 1 ,7,3,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,3,4,
Flekken (14147),medbox 1 ,4,3,
Flekken (14147),medbox 1 ,4,7,
Flekken (14147),medbox 1 ,7,3,
Flekken (14147),medbox 1 ,7,8,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,2,4,
Flekken (14147),medbox 1 ,3,2,
Flekken (14147),medbox 1 ,4,2,
Flekken (14147),medbox 1 ,4,6,
Flekken (14147),medbox 1 ,4,8,
Flekken (14147),medbox 1 ,6,3,
Flekken (14147),medbox 1 ,7,2,
Flekken (14147),medbox 1 ,7,3,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,2,6,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,3,4,
Flekken (14147),medbox 1 ,3,5,
Flekken (14147),medbox 1 ,3,8,
Flekken (14147),medbox 1 ,4,1,
Flekken (14147),medbox 1 ,4,5,
Flekken (14147),medbox 1 ,4,7,
Flekken (14147),medbox 1 ,7,1,
Flekken (14147),medbox 1 ,7,2,
Flekken (14147),medbox 1 ,7,5,
Flekken (14147),medbox 1 ,7,6,
Flekken (14147),medbox 1 ,7,8,
Flekken (14147),medbox 1 ,9,2,
Flekken (14147),medbox 1 ,9,4,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,12,3,
Flekken (14147),medbox 1 ,4,11,
Flekken (14147),medbox 1 ,6,7,
Flekken (14147),medbox 1 ,12,2,
Flekken (14147),medbox 1 ,12,3,
Flekken (14147),medbox 1 ,12,6,
Flekken (14147),medbox 1 ,2,3,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,3,8,
Flekken (14147),medbox 1 ,12,5,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,3,7,
Flekken (14147),medbox 1 ,4,7,
Flekken (14147),medbox 1 ,4,8,
Flekken (14147),medbox 1 ,6,1,
Flekken (14147),medbox 1 ,6,2,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,2,4,
Flekken (14147),medbox 1 ,4,4,
Flekken (14147),medbox 1 ,7,1,
Flekken (14147),medbox 1 ,7,4,
Flekken (14147),medbox 1 ,7,5,
Flekken (14147),medbox 1 ,9,1,
Flekken (14147),medbox 1 ,2,1,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,2,7,
Flekken (14147),medbox 1 ,3,5,
Flekken (14147),medbox 1 ,8,4,
Flekken (14147),medbox 1 ,9,4,
Flekken (14147),medbox 1 ,12,1,
Flekken (14147),medbox 1 ,12,8,
Flekken (14147),medbox 1 ,1,7,
Flekken (14147),medbox 1 ,2,6,
Flekken (14147),medbox 1 ,2,7,
Flekken (14147),medbox 1 ,6,5,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,12,4,
Flekken (14147),medbox 1 ,12,5,
Flekken (14147),medbox 1 ,1,9,
Flekken (14147),medbox 1 ,2,2,
Flekken (14147),medbox 1 ,2,5,
Flekken (14147),medbox 1 ,3,3,
Flekken (14147),medbox 1 ,3,6,
Flekken (14147),medbox 1 ,6,2,
Flekken (14147),medbox 1 ,9,3,
Flekken (14147),medbox 1 ,12,5,
Flekken (14147),medbox ,2,2,
Flekken (14147),medbox ,3,2,
Flekken (14147),medbox ,3,5,
Flekken (14147),medbox ,4,2,
Flekken (14147),medbox ,12,1,
Flekken (14147),medbox ,12,4,
Joppe,2011-03-28_16-06-26 ,5,3,
Joppe,2011-03-28_17-57-41 ,3,1,
Joppe,2011-03-28_17-57-41 ,5,3,
Joppe,2011-03-28_17-57-41 ,5,5,
